,mic_0,mic_1,mic_2,mic_3,mic_4,mic_5,mic_6,output_angle
523,0,0,-1,0,1,1,0,30
524,1,1,-1,0,1,0,-1,30
525,0,1,0,0,1,0,-1,30
526,0,0,-1,0,1,-1,-1,30
527,0,0,0,0,1,0,-1,30
528,0,0,0,0,2,0,-1,30
529,1,-1,0,1,0,0,0,30
530,1,0,0,0,1,1,0,30
531,1,1,0,0,1,0,0,30
532,1,0,0,0,1,1,1,30
533,1,1,0,1,1,1,0,30
534,1,2,0,-1,1,1,1,30
535,0,1,0,0,1,1,1,30
536,-1,1,0,0,1,0,0,30
537,1,0,1,1,2,1,0,30
538,0,2,0,0,1,0,-1,30
539,1,1,-1,0,1,0,0,30
540,0,0,1,1,1,1,0,30
541,0,0,-1,0,2,0,0,30
542,0,0,0,0,1,0,0,30
543,-1,1,0,0,1,0,0,30
544,0,0,0,-1,1,-1,-1,30
545,0,0,0,1,1,-1,-1,30
546,1,0,-1,-1,0,0,0,30
547,0,0,-1,-1,0,0,0,30
548,-1,0,-1,0,0,0,0,30
549,0,0,-1,0,1,0,1,30
550,-1,0,-2,0,1,-1,-1,30
551,0,-1,-2,-1,1,-1,0,30
552,-1,-1,-1,0,0,-1,-1,30
553,-1,-1,-3,0,-1,-2,-1,30
554,-2,-1,-2,-1,-1,-2,-1,30
555,-1,0,-1,-1,-2,-1,-2,30
556,-2,-2,-2,-2,-1,-2,-3,30
557,-1,-1,-3,0,-2,-2,-1,30
558,-2,-1,-1,-2,-2,-1,-1,30
559,0,-1,-1,0,-1,-2,-2,30
560,0,-1,-2,0,0,-2,-1,30
561,-1,-1,-2,-2,1,-1,-2,30
562,-1,0,-2,-1,-1,-2,-2,30
563,0,-1,-2,-2,-1,-1,0,30
564,0,-1,-2,-2,0,0,0,30
565,-1,0,-3,-1,-1,-1,0,30
566,-1,0,-1,-1,0,-2,-1,30
567,0,0,-2,-1,-1,-1,-1,30
568,0,-1,-1,-2,-1,-1,-1,30
569,-1,-1,-2,0,0,0,0,30
570,-1,0,-1,-1,-1,-1,-1,30
571,0,0,-2,0,0,-1,-1,30
572,-1,0,-1,0,-1,-1,0,30
573,0,0,-2,-1,0,0,-1,30
574,0,0,0,1,-1,0,0,30
575,0,0,0,1,1,-1,0,30
576,1,1,-1,0,1,0,0,30
577,2,1,-1,1,1,0,1,30
578,1,0,0,0,1,0,0,30
579,1,0,-1,0,1,0,0,30
580,0,0,-1,1,1,0,1,30
581,1,0,0,1,-1,1,1,30
582,0,1,-1,1,0,0,0,30
583,-1,0,-1,0,1,0,0,30
584,0,-1,-2,-1,0,0,-1,30
585,-1,0,0,0,0,-1,-1,30
586,0,0,0,0,-1,-1,-1,30
587,0,0,-1,0,-1,-1,-2,30
588,-1,0,-1,-1,0,-1,-1,30
589,-2,0,-1,0,-1,-1,0,30
590,-1,-1,-2,-1,-1,-1,0,30
591,-1,-1,-2,-1,-2,-1,-1,30
592,-1,1,-1,-1,-1,-1,-1,30
593,-2,-1,-2,-1,-1,-2,-1,30
